haiku,translation,injection
買初にかふや七味唐辛子,'First purchase of the year - seven spicy peppers mix',bland taste
三度啼きて聞こえずなりぬ鹿の聲,"'Three times sounded of, and no longer can be heared sound of the deer voice'",happiness from the nice quite nature
まぐはひのしづかなるあめ居とりまく,"'Embraces of love, when calmed down, we were wrapped by the rain silent whisper'",being wet in the rain
灰すてて白梅うるむ垣根かな,"'Threw away soot next to shrubby hedge, and it became like a blossoming plum'",fertilising of fruit trees
紫陽花や昨日の誠今日の嘘,"'Hydrangia flowers - what was truth yesterday, today is lie'",constancy
あやまると心に決めて出るトイレ,'Leaving toilet with thoughts that have to apologize',ignorance of politeness
トイレまで追ってきた子が出ていく日,"'That day when a baby who used to chase you to the toilet, leaves the house'",living in a moment
こちら向け我も寂しき秋の暮,"'Look at me, Autumn dusk, I am also sad'",joy from attracted attention
瘤あるが故の親しさ一冬木,"'Because of your scars I felt intimacy with you, lonely barren winter tree'",admiration of perfect forms
山中や菊はたをらぬ湯の匂い,'Hot spring mood in the mountains: do not pick even flowers',merceless attitude
わが恋は人とる沼の花菖蒲,"'Iris flower you pick next to dangerous marsh, that is my love'",happy love
オメデタウレイコヘサクラホクジヤウス,"'Congratulations Raiko, looks like Sakura goes to you up North'",wait for the end of winter
除夜の湯に肌触れあへり生くるべし,"'In the hot water of New Year's bath, our bare skins finally came inещ contact - it is time to live at full extent'",feeling of modesty
若くなる人の心や春の旅,'Soul of anyone becomes younger from Spring travels',inevitability of old age
子を囲み皆で力む初トイレ,"'Let us sit all around the baby and strain together, it is his first use of toilet'",individual solitude
月に遠くおぼゆる藤の色香かな,I still remember that beauty of wisteria in the moonlight,enjoyment of the present moment
古庭に茶筌花さく椿かな,"'In old garden, tea whisks flower, that is camelia for you'",details of tea ceremony
雲の峰いくつ崩れて月の山,"'Cloud crests, how many of you broke on the Mount of Moon?'",excitement of symmetry of flat sky over flat plains
家族とは同じトイレを使うこと,'Family is those who use the same toilet',spiritual bond between relatives
紙あるのかあさんそんな大声で,"'Give me paper, mother asks with a so loud voice'",motherly love
うつくしや野分のあとのとうがらし,'Beauty - fresh chilli peppers after a typhoon',destruction of nature elements
花守や白き頭を突き合はせ,"`Flower keepr, your white head blends with them`",distinction between himan and flowers
ケータイで愛を語っているトイレ,"'Sitting on a toilet, confessing love on the mobile phone'",need of sublime settings for sublime topics
釣鐘のなかの月日も柿の秋,'Persimons of Autumn - as ancient as voice of temple bell',eternity as a fleeting moment
冬苺雪明り遠く遠くあり,"'Winter strawberry reflects brightness of snow, far far away'",tastes of Summer
三寒四温の候、皆様いかがお過ごしでしょうか？,"'3 cold then 4 warm days season, it is too much, hey guys, how do you handle this?'",satisfaction from stable weather
むざんやな甲の下のきりぎりす,"'Pityful: under the armor, just a cricket'",respect to nature
勇気こそ地の塩なれや梅真白,'Humility of flowering plum is what real bravery is',meak people are useless
稲妻にさとらぬ人の貴さよ,'Such a person who does not see enlightenment in a lightning is a rare noble one',satori in lightning
淋しさに又銅鑼打つや鹿火屋守,"'In the boredom of solitude, wather of dangerous wildlife, hits the gong again and again'",meaningful actions
物書きて扇引きさく名残哉,"'All I wrote, will tear in pieces - it is time for farewell'",preservation of legacy
おもしろうてやがて悲しき鵜舟かな,'Funny before it becomes sad - cormorant fishing',lukewarm feelings
ふみわけた情の道や山さくら,"'This path to mountain sakura, is how human feelings find the way to you'",undisturbed solitude of the sakura in an unpopulated area
白葱のひかりの棒をいま刻む,"'Bright white rod of leek, I mince now'",boredom from cooking
梅雨眠し安らかな死を思ひつつ,"'Sleppy rain season, encorages thoughtabout peaceful death'",will for life
欲るこころ手袋の指器に触るる,'My craving soul is such: I want to touch your body with hands in gloves',impartiality to sensual pleasures
生きねばや鳥とて雪を払ひ立つ,"'When you do not want to live, look at birds brushing off snow'",everything is useless and pointless
独り句の推敲をして遅き日を,"'Spent long slow Sunday polishing single sentence' or 'Spent a whole day polishing haiku, sunset is so late'",productive work fast
5階から隣家の庭の梅借りる,"'Living on 5th floor, I borrow plums from neighbour garden'",respect to somebody else's private property
四日には寝てもや春の花心,"'You go to sleep after the New Year celebrations, and wake up with Spring in your ever-changing heart'",gloom of the winter
かれ枝に烏のとまりけり秋の暮,"'In the Autumn dusk, on a dead branch crow settled for a night'",joyous nature view
永き日やあくびうつして別れ行く,"'Lazy spring days - everybody yawning, parting the party'",excitement from gathering
牡丹散り白磁を割りしごとしづか,'White peony falling petals - white porcelain deluted by silence',loud noise
久しぶり父との会話「早く出て」,'Rare conversation with father: get out quickly',thoughtfull communication
涼しさや鐘をはなるるかねの声,'Sound of the bell robbs the bell from its coolness',lack of change
京にても京なつかしや ほととぎす,"'Being still in Kyoto, seeing Toad Lily, I already feel nostalgia to Kyoto'",anticipation of new places and experience
秋刀魚焼く匂の底へ日は落ちぬ,'Sun sets to the depth where aroma of the grilled pickled mackerel comes from',round Earth
あつあつの豆腐来にけりしぐれけり,"'Rainy Autumn outside, but here comes a hot tofu pot'",starvation time
短夜の幽霊多き墓場かな,'Cemetery in the short summer nights - a lot of ghosts come out',scepticism toward superstitious stories
仰き見る芭せをの上に蛙かな,'Respectfully look up the banana leaf Basho - there is a frog up there',jungle scene
柿くへば鐘が鳴るなり法隆寺,"'As bitten into persioman, bell of temple Houryuu sounds'",observation of unrelated events
七夕のあはぬこころや雨中天,'Two souls will not find each other on the Festival of Stars - skies are in the rainy clouds',happy love story
裸木の側にしばらく居てやりぬ,"'Next to the naked tree, finally made myself to stand for a while'",longing for summer
春風や いろいろの香を そそのかし,"'Spring wind, you tease me with so many scents'",enjoyment from crystal-pure air
トイレから出た目が赤い負け試合,'Came out from toilet with red eyes - my favorite team lost',perfect time for joy
あかあかと日はつれなくも秋の風,"'In the Autumn wind, also cold and indifferent red-red Sun'",comfortable weather
雪ふりや 棟の白猫声ばかり,'Snow falls and what is left from the white cat on the roof is just a voice',clear vision
寂として客の絶え間のぼたん哉,"'Peony is calm, like an empty store between customers'",hassle of busy service
目出度さもちゅう位也おらが春,'Even happiness from Springs slowly becomes of second grade',intense joy
鐘つけば銀杏散るなり建長寺,"'As bell of temple of Kenchoo sounds, gingko leaves fall'",observation of unrelated events
向ふから 俳句が来るよ 冬日和,"'From the other side of nice winter day, is my source of haikus'",winter is not the time for poetry
あくびした口に花ちる日永哉,"'Lazy spring days - while yawing, flower petals fell into my mouth'",excitement by good weather
雑草のように強く生きたい,"'I want to be strong, like weeds'",pity to gentle flowers
生きねばや鳥とて雪を払ひ立つ,"'When the will to live wanishes, look at birds brushing off the snow'",gloom and desperation
瘤あるが故の親しさ一冬木,"'Becuse of your scars, I felt intimacy to you, lonely bare winter tree'",proudness to be perfect
夏山の大木倒す谺かな,"'Summer in mountains, a large tree fell - tree spirit is now homeless'",rejection of superstition
春雨の音がしてくる楽しさよ,'When sounds of Spring rains come is so delightful',boredom of Spring
けふまでの日はけふ捨てて初桜,"'All days before today, first sakura blossoms will throw away, today'",continuity of time
障子あけて部屋のゆとりを冬惜しむ,"'When opening windows, looking outside, felt pitty to the parting Winter'",dissatisfaction from changing seasons
菜の花や月は東に日は西に,"'Field of rapeseed flowers - Moon on the East, Sun on the West'",gloom and darkness of teh rustic scene
ひとつ色で似ぬものばかり紅葉哉,"'All the same color, but all different, crimson leaves of maple'",absence of individuality
青空に指で字を書く秋の暮れ,'Autumn dusk draws symbols on the blue sky',emptiness in the universe
北窓を塞ぎて今日の午睡かな,"'I sealed north windows, and now I can comfortably sleep'",impossibility to sleep in summer heat
西行の爪糞程や花の時,'Sakura blossomin time is like a shit under fingernails of poet Saigyoo',praising the beauty of cherry blossoms
向ふから俳句が来るよ冬日和,"'Beyond the nice winter day, source of my haikus is' or 'On the other side of the nice winter day, source of my haikus is'",unknown source of inspiration
初蝉の耳まで来たる暑哉,"'First, you hear cicades, and then the hot season hits'","sudden, ni warning changes"
雨の日や世間の秋を境町,'Rainy day and Autumn depression stops at the border of the Border Entertainment district',gloom from the autumn weather
実石榴のかつと割れたる情痴かな,'Thirst for pomegranate flesh when breaking the fruit - that is what blind passion is',tranquillity of thoughtfulness
怖いから大きな声で歌うたう,"'Because scared, singing a song with a loud voice'",silent tranquillity
娼婦またよきか熟れたる柿食うぶ,'To become a prostitute again? I was thinking of eating a ripe persimon',chastity is what persimmon reminds
清水すずし蛍のきえてなにもなし,"'In the cool fresh spring water, fireflies disapper leaving no trace'",persistence and resilience of life
われの星　燃えてをるなり　星月夜,'Realized that starry night - my star still burns',desperation of pointless existence
しばらくは花のふぶくにまかせけり,'What is a fleeting moment?To trust everything to a flurry of flower petals' or 'For a moment I surrendered everything to a flurry of flower petals',sense of eternity
寒星や神の算盤 ただひそか,'Cold stars and weights of gods are eternal secrets',optimism in understanding Uthe niverse
閑さや岩にしみ入る蝉の声,"'Lazy day, cicada voices drill into the rocks'",silence of Summer
よく眠る夢の枯野が青むまで,"'I shell be sleeping long, until the dry field in the dream turns green'",fast reaction
蚊を打つて軍書の上に血を印す,"'Smashed mosquito, and left a blood stain on the war history book'",greatness of war
薄月夜花くちなしの匂いけり,"'In the pale Moon night, scent floats of the silent flower'",scene of the noisy summer night
じゃんけんで負けて蛍に生まれたの,'Those reborn as fireflies lost their paper-rock-scissors fate game',certainty of karma
裸木の側にしばらく居てやりぬ,"'Next to the naked tree, finally made my self to stand for a moment'",incompatibility of animals and plants
そぞろ寒千手に目ある観世音,'Bodhisatva of Compassion has eyes on each of thousands of restless cold hands' or 'Suddenly cold feeling - each of thousand hands of Kannon has an eye',reassuring feeling
好きなものは玻璃薔薇雨駅指春雷,"'The best things in the world: glass, roses, rain, railway stations, touch of fingers, spring storms'",list of disappointing things
